id,name,region,pop,gdp,gdppc,year,L10n
GHA,Ghana,Africa,31072945,72354428865,2328.53,2020,na
GIN,Guinea,Africa,13132792,15681050917,1194.04,2020,na
GMB,The Gambia,Africa,2416664,1901930158,787.01,2020,na
GNB,Guinea-Bissau,Africa,1967998,1431758243,727.52,2020,na
GNQ,Equatorial Guinea,Africa,1402985,10021856754,7143.24,2020,na
GRC,Greece,Europe,10715549,189410106620,17676.19,2020,na
GRD,Grenada,America,112519,1089203704,9680.18,2020,na
GRL,Greenland,America,56023,3051626390,54470.96,2018,na
GTM,Guatemala,America,16858333,77604632171,4603.34,2020,na
GUY,Guyana,America,786559,5471256595,6955.94,2020,na
HKG,Hong Kong,Asia,7481800,346585881504,46323.86,2020,0.9023065411
HND,Honduras,America,9904608,23827840810,2405.73,2020,na
HRV,Croatia,Europe,4047200,55966581780,13828.47,2020,0.9611426081
HTI,Haiti,America,11402533,13417997065,1176.76,2020,na
HUN,Hungary,Europe,9749763,155012927629,15899.15,2020,0.9931076217
IDN,Indonesia,Asia,273523621,1058423838345,3869.59,2020,na
IMN,Isle of Man,Europe,84073,7491969313,89112.67,2018,na
IND,India,Asia,1380004385,2622983732006,1900.71,2020,0.9990258911
IRL,Ireland,Europe,4994724,425888950992,85267.76,2020,0.9977108731
IRN,Iran,Asia,83992953,191718271484,2282.55,2020,na
IRQ,Iraq,Asia,40222503,167224432560,4157.48,2020,0.8808927825
ISL,Iceland,Europe,366425,21718075725,59270.18,2020,na
ISR,Israel,Asia,9216900,401953767073,43610.52,2020,na
ITA,Italy,Europe,59554023,1886445268341,31676.2,2020,0.9950834261
JAM,Jamaica,America,2961161,13812421803,4664.53,2020,na
JEY,Jersey,Europe,,,,,na
JOR,Jordan,Asia,10203140,43697659275,4282.77,2020,na
JPN,Japan,Asia,125836021,4975415241563,39538.88,2020,na
KAZ,Kazakhstan,Asia,18754440,169835426427,9055.75,2020,0.9888844451
KEN,Kenya,Africa,53771300,98842939649,1838.21,2020,na
KGZ,Kyrgyzstan,Asia,6591600,7735976613,1173.61,2020,na
KHM,Cambodia,Asia,16718971,25291251427,1512.73,2020,na
KIR,Kiribati,Oceania,119446,199573326,1670.82,2020,na
KNA,Saint Kitts and Nevis,America,53192,927451852,17435.93,2020,na
KOR,South Korea,Asia,51780579,1630525005469,31489.12,2020,na
KOS,Kosovo,Europe,1775378,7611402165,4287.2,2020,na
KWT,Kuwait,Asia,4207077,136196760181,32373.25,2019,na
LAO,Laos,Asia,7275556,19136194849,2630.2,2020,na
LBN,Lebanon,Asia,6825442,33383246858,4891,2020,na
LBR,Liberia,Africa,5057677,2950000000,583.27,2020,na
LBY,Libya,Africa,6871287,25418461532,3699.23,2020,na
LCA,Saint Lucia,America,183629,1703364241,9276.12,2020,na
LIE,Liechtenstein,Europe,37918,6839145107,180366.72,2018,na
LKA,Sri Lanka,Asia,21919000,80706600229,3682.04,2020,na
LSO,Lesotho,Africa,2142252,1844510138,861.01,2020,na
LTU,Lithuania,Europe,2794700,55887271833,19997.59,2020,na
LUX,Luxembourg,Europe,632275,73263982103,115873.6,2020,na
LVA,Latvia,Europe,1901548,33505185229,17619.95,2020,na
MAC,Macau,Asia,640446,55153707949,86117.66,2019,na
MAR,Morocco,Africa,36910558,112870591694,3057.95,2020,0.9914861662
MCO,Monaco,Europe,38967,7423709840,190512.74,2019,na
MDA,Moldova,Europe,2617820,11914040905,4551.13,2020,na
MDG,Madagascar,Africa,27691019,13720634105,495.49,2020,na
MDV,Maldives,Asia,540542,4030203167,7455.86,2020,na
MEX,Mexico,America,128932753,1076163316175,8346.7,2020,0.9993166426
MHL,Marshall Islands,Oceania,58791,239462200,4073.11,2019,na
MKD,Macedonia,Europe,2083380,12266949805,5888,2020,na
MLI,Mali,Africa,20250834,17393761397,858.92,2020,na
MLT,Malta,Europe,525285,14647384608,27884.64,2020,na
MMR,Myanmar,Asia,54409794,76185586097,1400.22,2020,na
MNE,Montenegro,Europe,621718,4778582336,7686.09,2020,na
MNG,Mongolia,Asia,3278292,13137128659,4007.31,2020,na
MOZ,Mozambique,Africa,31255435,14021421106,448.61,2020,na
MRT,Mauritania,Africa,4649660,7778525643,1672.92,2020,na
MUS,Mauritius,Africa,1265740,10914065306,8622.68,2020,na
MWI,Malawi,Africa,19129955,11961848553,625.29,2020,na
MYS,Malaysia,Asia,32365998,336664444247,10401.79,2020,0.9348475061
NAM,Namibia,Africa,2540916,10699926683,4211.05,2020,na
NCL,New Caledonia,Oceania,,,,,na
NER,Niger,Africa,24206636,13678234008,565.06,2020,na
NGA,Nigeria,Africa,206139587,432293776262,2097.09,2020,na
NIC,Nicaragua,America,6624554,12621476264,1905.26,2020,na
NLD,Netherlands,Europe,17441139,913865395790,52397.12,2020,na
NOR,Norway,Europe,5379475,362522347110,67389.91,2020,na
NPL,Nepal,Asia,29136808,33657175561,1155.14,2020,na
NRU,Nauru,Oceania,10764,118223430,10983.22,2019,na
NZL,New Zealand,Oceania,5084300,210886315369,41477.94,2020,na
OMN,Oman,Asia,4974992,76331518669,15343.04,2019,na
PAK,Pakistan,Asia,220892331,263686552686,1193.73,2020,0.999970148
PAN,Panama,America,4314768,52938100000,12269.05,2020,na
PER,Peru,America,32971846,202014363787,6126.87,2020,0.9997927575
PHL,Philippines,Asia,109581085,361489354350,3298.83,2020,1
PLW,Palau,Oceania,18001,268354900,14907.78,2019,na
PNG,Papua New Guinea,Oceania,8947027,23591523025,2636.8,2020,na
POL,Poland,Europe,37950802,594164690895,15656.18,2020,na
PRI,Puerto Rico,America,3194034,103138300000,32290.92,2020,na
PRK,North Korea,Asia,,,,,na
PRT,Portugal,Europe,10305564,231226743398,22437.08,2020,na
PRY,Paraguay,America,7132530,35304238230,4949.75,2020,na
PSE,Palestine,Asia,4803269,15561300000,3239.73,2020,na
QAT,Qatar,Asia,2881060,146373588867,50805.46,2020,na
ROU,Romania,Europe,19286123,248715551367,12896.09,2020,0.8018948603
RUS,Russia,Europe,144104080,1483497784868,10294.63,2020,0.9975996134
RWA,Rwanda,Africa,12952209,10333991892,797.86,2020,na
SAH,Western Sahara,Africa,,,,,na
SAU,Saudi Arabia,Asia,34813867,700117873249,20110.32,2020,0.9112981454
SDN,Sudan,Africa,43849269,26110829190,595.47,2020,na
SEN,Senegal,Africa,16743930,24910904236,1487.76,2020,na
SGP,Singapore,Asia,5685807,339998477930,59797.75,2020,0.9654722452
SLB,Solomon Islands,Oceania,686878,1551245526,2258.4,2020,na
SLE,Sierra Leone,Africa,7976985,3865018883,484.52,2020,na
SLV,El Salvador,America,6486201,24638720000,3798.64,2020,na
SMR,San Marino,Europe,33864,1616369646,47731.21,2019,na
SOM,Somalia,Africa,15893219,4917607582,309.42,2020,na
SRB,Serbia,Europe,6908224,52960134079,7666.24,2020,0.9742680373
SSD,South Sudan,Africa,10715657,11997800760,1119.65,2015,na
STP,Sao Tome and Principe,Africa,219161,472914470,2157.84,2020,na
SUR,Suriname,America,586634,3807922874,6491.14,2020,na
SVK,Slovakia,Europe,5458827,104574146248,19156.89,2020,0.9547921588
SVN,Slovenia,Europe,2100126,53589609581,25517.33,2020,na
SWE,Sweden,Europe,10353442,541063604340,52259.3,2020,na
SWZ,Swaziland,Africa,1160164,3962493093,3415.46,2020,na
SYC,Seychelles,Africa,98462,1124937500,11425.09,2020,na
SYR,Syria,Asia,19878257,40405006007,2032.62,2007,na
TCD,Chad,Africa,16425859,10093118570,614.47,2020,na
TGO,Togo,Africa,8278737,7574635241,914.95,2020,na
THA,Thailand,Asia,69799978,501794961925,7189.04,2020,0.9958703541
TJK,Tajikistan,Asia,9537642,8194150302,859.14,2020,na
TKM,Turkmenistan,Asia,5942094,45231428571,7612.04,2019,na
TLS,East Timor,Asia,1318442,1821000000,1381.18,2020,na
TON,Tonga,Oceania,104497,512350059,4903.01,2019,na
TTO,Trinidad and Tobago,America,1399491,21529824769,15384.04,2020,na
TUN,Tunisia,Africa,11818618,39235672868,3319.82,2020,na
TUR,Turkey,Asia,84339067,720101212394,8538.17,2020,0.9885266271
TUV,Tuvalu,Oceania,11792,48855550,4143.11,2020,na
TWN,Taiwan,Asia,,,,,na
TZA,Tanzania,Africa,59734213,62409748427,1044.79,2020,na
UGA,Uganda,Africa,45741000,37372032558,817.04,2020,na
UKR,Ukraine,Europe,44134693,155582008717,3525.16,2020,na
URY,Uruguay,America,3473727,53628827440,15438.41,2020,na
USA,United States of America,America,329484123,20936600000000,63543.58,2020,na
UZB,Uzbekistan,Asia,34232050,57707189945,1685.76,2020,0.9948116912
VAT,Vatican,Europe,,,,,na
VCT,Saint Vincent and the Grenadines,America,110947,809681481,7297.91,2020,na
VEN,Venezuela,America,30042973,482359318768,16055.65,2014,na
VNM,Vietnam,Asia,97338583,271158442059,2785.72,2020,na
VUT,Vanuatu,Oceania,307150,854793640,2782.98,2020,na
WSM,Samoa,Oceania,198410,807027244,4067.47,2020,na
YEM,Yemen,Asia,28498683,23486269599,824.12,2018,na
ZAF,South Africa,Africa,59308690,301923639270,5090.72,2020,0.9764176973
ZMB,Zambia,Africa,18383956,19320053859,1050.92,2020,na
ZWE,Zimbabwe,Africa,14862927,16768513443,1128.21,2020,na
